"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches_X"
1;"AA16-50272-OF01";"Training_3";"1.0 - Training_3";"Training_3";"XY";"19 Feb 2018 at 12:49AM by pavla.coufalova@pcr.cz";0
2;"AA16-50789-OF01";"Training_3";"1.0 - Training_3";"Training_3";"XY";"19 Feb 2018 at 12:49AM by pavla.coufalova@pcr.cz";0
3;"AA16-52866-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
4;"AA16-54932-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
5;"AA16-59558-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
6;"AA16-60368-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
7;"AA16-61186-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
8;"AA16-61501-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
9;"AA16-61502-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
10;"AA16-61503-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
11;"AA16-61504-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
12;"AA16-61505-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
13;"AA16-61506-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
14;"AA16-61507-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
15;"AA16-61508-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
16;"AA16-61509-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
17;"AA16-61510-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
18;"AA16-61511-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
19;"AA16-61513-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
20;"AA16-61514-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
21;"AA16-61515-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
22;"AA16-61516-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
23;"AA16-61517-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
24;"AA16-61518-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
25;"AA16-61519-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
26;"AA16-61520-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
27;"AA16-61521-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
28;"AA16-61522-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
29;"AA16-61523-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
30;"AA16-61524-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
31;"AA16-61525-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
32;"AA16-61526-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
33;"AA16-61527-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
34;"AA16-61528-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
35;"AA16-61529-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
36;"AA16-61530-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
37;"AA16-61531-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
38;"AA16-61532-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
39;"AA16-61533-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
40;"AA16-61534-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
41;"AA16-61535-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
42;"AA16-61536-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
43;"AA16-61537-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
44;"AA16-61538-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
45;"AA16-61539-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
46;"AA16-61540-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
47;"AA16-61541-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
48;"AA16-61542-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
49;"AA16-61543-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
50;"AA16-61544-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
51;"AA16-61545-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
52;"AA16-61546-OF01";"24315";"1.0 - 24315";"24315";"XX";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
53;"AA16-61547-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
54;"AA16-61548-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
55;"AA16-61549-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
56;"AA16-61550-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
57;"AA16-61551-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
58;"AA16-61552-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
59;"AA16-61553-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
