"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches_Y"
1;"AA16-50272-OF01";"Training_3";"1.0 - Training_3";"Training_3";"XY";"19 Feb 2018 at 12:49AM by pavla.coufalova@pcr.cz";2
2;"AA16-50789-OF01";"Training_3";"1.0 - Training_3";"Training_3";"XY";"19 Feb 2018 at 12:49AM by pavla.coufalova@pcr.cz";0
3;"AA16-52866-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";1
4;"AA16-54932-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
5;"AA16-59558-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";11
6;"AA16-60368-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
7;"AA16-61186-OF01";"varianty";"1.0 - vybrane_BS_161206";"vybrane_BS_161206";"XY";"16 Feb 2017 at 04:14AM by tomas.capal@pcr.cz";0
8;"AA16-61501-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
9;"AA16-61502-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";5
10;"AA16-61503-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";3
11;"AA16-61504-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
12;"AA16-61505-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
13;"AA16-61506-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
14;"AA16-61507-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
15;"AA16-61508-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
16;"AA16-61509-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
17;"AA16-61510-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
18;"AA16-61511-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
19;"AA16-61513-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
20;"AA16-61514-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
21;"AA16-61516-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
22;"AA16-61519-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
23;"AA16-61520-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
24;"AA16-61521-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";2
25;"AA16-61522-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
26;"AA16-61523-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
27;"AA16-61524-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
28;"AA16-61525-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
29;"AA16-61526-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
30;"AA16-61527-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
31;"AA16-61528-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
32;"AA16-61529-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
33;"AA16-61531-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
34;"AA16-61532-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
35;"AA16-61533-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
36;"AA16-61534-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
37;"AA16-61535-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
38;"AA16-61538-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
39;"AA16-61539-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
40;"AA16-61540-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
41;"AA16-61541-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
42;"AA16-61542-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
43;"AA16-61543-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
44;"AA16-61544-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
45;"AA16-61545-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
46;"AA16-61547-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
47;"AA16-61548-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
48;"AA16-61549-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
49;"AA16-61550-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";0
50;"AA16-61551-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
51;"AA16-61552-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
52;"AA16-61553-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
53;"AA16-61554-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
54;"AA16-61557-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
55;"AA16-61558-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
56;"AA16-61559-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
57;"AA16-61560-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
58;"AA16-61562-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";2
59;"AA16-61563-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
60;"AA16-61564-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
61;"AA16-61565-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";2
62;"AA16-61566-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
63;"AA16-61567-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
64;"AA16-61568-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
65;"AA16-61571-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";2
66;"AA16-61572-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
67;"AA16-61573-OF01";"24315";"1.0 - 24315";"24315";"XY";"10 Nov 2017 at 05:22AM by pavla.coufalova@pcr.cz";1
