"id";"sample_name";"project";"analysis";"run";"gender";"created";"no_mismatches_Y"
2;"MS2";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
3;"MS5";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
4;"MS6";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
5;"MS9";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
6;"Mantic";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
7;"Schnitzer";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
8;"Stenzl";"50320";"1.0 - 50320";"user admin@forenseq.uas";"XY";"06 Mar 2020 at 01:04AM (Pacific Standard Time)";0
9;"1204";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
10;"1255";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
11;"1287";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
12;"1297";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
13;"1319";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
14;"1321";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
15;"1336";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
16;"1338";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
17;"1463";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
18;"1500";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
19;"1520";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
20;"1530";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
21;"1540";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
22;"1544";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
23;"2528";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
24;"2529";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
25;"2560";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
26;"2571";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
27;"2601";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
28;"2615";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
29;"2619";"201105";"1.0 - 201105";"user jiri.patera2@pcr.cz";"XY";"12 May 2020 at 05:16AM (Pacific Standard Time)";0
